func,noise,M,lam,cv,test
cos x,равномерный,3,3.1622776601683795e-09,0.5058539214548726,0.28493807475676
cos x,равномерный,3,1e-08,0.5058539116782284,0.28493807551573236
cos x,равномерный,3,3.162277660168379e-08,0.5058538807617715,0.28493807791581394
cos x,равномерный,3,1e-07,0.5058537829954229,0.28493808550553906
cos x,равномерный,3,3.162277660168379e-07,0.5058534738318002,0.2849381095063654
cos x,равномерный,3,1e-06,0.5058524961777641,0.2849381854037258
cos x,равномерный,3,3.162277660168379e-06,0.5058494046360498,0.28493842541308506
cos x,равномерный,3,1e-05,0.5058396290407161,0.28493918439764226
cos x,равномерный,3,3.1622776601683795e-05,0.5058087230717027,0.28494158460076674
cos x,равномерный,3,0.0001,0.5057110615325662,0.28494917554147925
cos x,равномерный,3,0.00031622776601683794,0.5054029438674734,0.2849731885187015
cos x,равномерный,3,0.001,0.5044356823314408,0.28504920721413424
cos x,равномерный,3,0.0031622776601683794,0.501445998102847,0.2852904244637432
cos x,равномерный,3,0.01,0.4926285245161389,0.28606131689906517
cos x,равномерный,3,0.03162277660168379,0.46977954947389533,0.288575351871158
cos x,равномерный,3,0.1,0.42543781780922474,0.2971537018273459
cos x,равномерный,3,0.31622776601683794,0.37382561424546984,0.32747434450179974
cos x,равномерный,3,1.0,0.39714811633293917,0.4169478641969426
cos x,равномерный,3,3.1622776601683795,0.5142020018621191,0.5655623573584372
cos x,равномерный,3,10.0,0.5992124669879773,0.6841315774500376
cos x,равномерный,3,31.622776601683793,0.6401839269899583,0.7389069333832615
cos x,равномерный,3,100.0,0.6564111311898204,0.7587446384542635
cos x,равномерный,4,0.0,0.23289457231000937,0.18860675357663284
cos x,равномерный,4,1e-10,0.2328945738206844,0.18860675354498313
cos x,равномерный,4,3.1622776601683795e-10,0.23289457708718825,0.18860675347654768
cos x,равномерный,4,1e-09,0.23289458741677702,0.18860675326013643
cos x,равномерный,4,3.1622776601683795e-09,0.2328946200818013,0.18860675257578396
cos x,равномерный,4,1e-08,0.23289472337762795,0.188606750411674
cos x,равномерный,4,3.162277660168379e-08,0.2328950500271964,0.18860674356818316
cos x,равномерный,4,1e-07,0.2328960829786973,0.18860672192742403
cos x,равномерный,4,3.162277660168379e-07,0.23289934940685666,0.18860665349592726
cos x,равномерный,4,1e-06,0.232909678246562,0.18860643712245564
cos x,равномерный,4,3.162277660168379e-06,0.23294233577388884,0.18860575314866326
cos x,равномерный,4,1e-05,0.2330455565964736,0.18860359282515632
cos x,равномерный,4,3.1622776601683795e-05,0.2333714551331707,0.1885967871821301
cos x,равномерный,4,0.0001,0.23439686701959336,0.1885755243527783
cos x,равномерный,4,0.00031622776601683794,0.23758718719295432,0.18851085485378655
cos x,равномерный,4,0.001,0.24714800681450083,0.18833155966318976
cos x,равномерный,4,0.0031622776601683794,0.27256031805683395,0.18800177035260796
cos x,равномерный,4,0.01,0.32235317759409066,0.18890966885126853
cos x,равномерный,4,0.03162277660168379,0.3815231383054697,0.2021052070676304
cos x,равномерный,4,0.1,0.4226729031917884,0.25225487049506434
